sequenceNumber,underArea,aboveArea,totalArea,ratio_underAbove,ratio_aboveUnder,ratio_totalUnder,ratio_totalAbove,ratio_underTotal,ratio_aboveTotal,ratio_prevUnderActUnder,ratio_actUnderPrevUnder,ratio_prevAboveActAbove,ratio_actAbovePrevAbove,ratio_prevTotalActTotal,ratio_actTotalPrevTotal,ratio_prevUnderActAbove,ratio_actUnderPrevAbove,ratio_prevAboveActUnder,ratio_actAbovePrevUnder,ratio_prevTotalActUnder,ratio_actTotalPrevUnder,ratio_prevTotalActAbove,ratio_actTotalPrevAbove,ratio_prevUnderActTotal,ratio_actUnderPrevTotal,ratio_prevAboveActTotal,ratio_actAbovePrevTotal,ratio_nextUnderActUnder,ratio_actUnderNextUnder,ratio_nextAboveActAbove,ratio_actAboveNextAbove,ratio_nextTotalActTotal,ratio_actTotalNextTotal,ratio_nextUnderActAbove,ratio_actUnderNextAbove,ratio_nextAboveActUnder,ratio_actAboveNextUnder,ratio_nextTotalActUnder,ratio_actTotalNextUnder,ratio_nextTotalActAbove,ratio_actTotalNextAbove,ratio_nextUnderActTotal,ratio_actUnderNextTotal,ratio_nextAboveActTotal,ratio_actAboveNextTotal
1,0.39269908169872414,0.6073009183012759,1.0,0.6466301463814189,1.5464790894703255,2.5464790894703255,1.646630146381419,0.39269908169872414,0.6073009183012759,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,0.5,2.0,0.5,2.0,0.5,1.2932602927628378,0.32331507319070946,3.092958178940651,0.7732395447351628,5.092958178940651,1.2732395447351628,3.293260292762838,0.8233150731907095,0.7853981633974483,0.19634954084936207,1.2146018366025517,0.30365045915063793
1,0.7853981633974483,1.2146018366025517,2.0,0.6466301463814189,1.5464790894703255,2.5464790894703255,1.646630146381419,0.39269908169872414,0.6073009183012759,0.5,2.0,0.5,2.0,0.5,2.0,0.32331507319070946,1.2932602927628378,0.7732395447351628,3.092958178940651,1.2732395447351628,5.092958178940651,0.8233150731907095,3.293260292762838,0.19634954084936207,0.7853981633974483,0.30365045915063793,1.2146018366025517,2.0,0.5,2.0,0.5,2.0,0.5,1.2932602927628378,0.32331507319070946,3.092958178940651,0.7732395447351628,5.092958178940651,1.2732395447351628,3.293260292762838,0.8233150731907095,0.7853981633974483,0.19634954084936207,1.2146018366025517,0.30365045915063793
2,2.356194490192345,3.643805509807655,6.0,0.6466301463814189,1.5464790894703255,2.5464790894703255,1.646630146381419,0.39269908169872414,0.6073009183012759,0.3333333333333333,3.0,0.3333333333333333,3.0,0.3333333333333333,3.0,0.21554338212713964,1.9398904391442569,0.5154930298234418,4.639437268410976,0.8488263631567752,7.639437268410976,0.548876715460473,4.939890439144257,0.1308996938995747,1.1780972450961724,0.2024336394337586,1.8219027549038276,3.0,0.3333333333333333,3.0,0.3333333333333333,3.0,0.3333333333333333,1.9398904391442569,0.21554338212713964,4.639437268410976,0.5154930298234418,7.639437268410976,0.8488263631567752,4.939890439144257,0.548876715460473,1.1780972450961724,0.1308996938995747,1.8219027549038276,0.2024336394337586
3,5.890486225480862,9.109513774519137,14.999999999999998,0.6466301463814189,1.5464790894703253,2.5464790894703255,1.646630146381419,0.39269908169872414,0.6073009183012759,0.4,2.5,0.4000000000000001,2.4999999999999996,0.4,2.4999999999999996,0.2586520585525676,1.6165753659535471,0.6185916357881303,3.866197723675813,1.0185916357881302,6.366197723675813,0.6586520585525677,4.116575365953547,0.15707963267948968,0.9817477042468102,0.24292036732051037,1.5182522957531894,2.5,0.4,2.4999999999999996,0.4000000000000001,2.4999999999999996,0.4,1.6165753659535471,0.2586520585525676,3.866197723675813,0.6185916357881303,6.366197723675813,1.0185916357881302,4.116575365953547,0.6586520585525677,0.9817477042468102,0.15707963267948968,1.5182522957531894,0.24292036732051037
5,15.707963267948966,24.29203673205103,40.0,0.646630146381419,1.5464790894703253,2.5464790894703255,1.6466301463814192,0.39269908169872414,0.6073009183012757,0.37499999999999994,2.666666666666667,0.375,2.6666666666666665,0.37499999999999994,2.666666666666667,0.2424863048930321,1.7243470570171173,0.579929658551372,4.1239442385875344,0.9549296585513719,6.790610905254201,0.6174863048930321,4.391013723683784,0.14726215563702155,1.0471975511965979,0.22773784436297842,1.6194691154700689,2.666666666666667,0.37499999999999994,2.6666666666666665,0.375,2.666666666666667,0.37499999999999994,1.7243470570171173,0.2424863048930321,4.1239442385875344,0.579929658551372,6.790610905254201,0.9549296585513719,4.391013723683784,0.6174863048930321,1.0471975511965979,0.14726215563702155,1.6194691154700689,0.22773784436297842
8,40.840704496667314,63.159295503332686,104.0,0.646630146381419,1.5464790894703253,2.546479089470325,1.646630146381419,0.3926990816987242,0.6073009183012759,0.3846153846153846,2.6,0.3846153846153846,2.6,0.38461538461538464,2.6,0.24870390245439192,1.6812383805916895,0.5947996497962789,4.020845632622846,0.9794150344116636,6.620845632622847,0.6333192870697766,4.28123838059169,0.15103810834566314,1.0210176124166828,0.23357727626972144,1.578982387583317,2.6,0.3846153846153846,2.6,0.3846153846153846,2.6,0.38461538461538464,1.6812383805916895,0.24870390245439192,4.020845632622846,0.5947996497962789,6.620845632622847,0.9794150344116636,4.28123838059169,0.6333192870697766,1.0210176124166828,0.15103810834566314,1.578982387583317,0.23357727626972144
13,107.2068493037517,165.7931506962483,273.0,0.646630146381419,1.5464790894703253,2.5464790894703255,1.646630146381419,0.39269908169872414,0.6073009183012757,0.380952380952381,2.625,0.380952380952381,2.625,0.38095238095238093,2.625,0.24633529385958822,1.697404134251225,0.5891348912267906,4.059507609859604,0.9700872721791716,6.684507609859604,0.6272876748119692,4.322404134251225,0.14959965017094254,1.030835089459151,0.23135273078143842,1.5941649105408489,2.625,0.380952380952381,2.625,0.380952380952381,2.625,0.38095238095238093,1.697404134251225,0.24633529385958822,4.059507609859604,0.5891348912267906,6.684507609859604,0.9700872721791716,4.322404134251225,0.6272876748119692,1.030835089459151,0.14959965017094254,1.5941649105408489,0.23135273078143842
21,280.387144332889,433.6128556671109,714.0,0.6466301463814189,1.5464790894703253,2.5464790894703255,1.646630146381419,0.39269908169872414,0.6073009183012757,0.3823529411764706,2.615384615384615,0.38235294117647056,2.6153846153846154,0.38235294117647056,2.6153846153846154,0.24724093832230726,1.691186536689865,0.5913008283268891,4.044637618614697,0.9736537695033598,6.660022233999312,0.6295938794987779,4.306571152074481,0.1501496488848063,1.0270591367505093,0.23220329229166428,1.588325478634106,2.615384615384615,0.3823529411764706,2.6153846153846154,0.38235294117647056,2.6153846153846154,0.38235294117647056,1.691186536689865,0.24724093832230726,4.044637618614697,0.5913008283268891,6.660022233999312,0.9736537695033598,4.306571152074481,0.6295938794987779,1.0270591367505093,0.1501496488848063,1.588325478634106,0.23220329229166428
34,734.3472827766141,1135.652717223386,1870.0,0.6466301463814188,1.5464790894703258,2.5464790894703255,1.6466301463814188,0.3926990816987241,0.6073009183012759,0.38181818181818183,2.619047619047619,0.3818181818181818,2.6190476190476195,0.38181818181818183,2.619047619047619,0.2468951468001781,1.6935551452846687,0.590473834161397,4.050302377184186,0.9722920159795789,6.669349996231805,0.6287133286183599,4.312602764332288,0.14993964937587648,1.0284975949252297,0.2318785324423053,1.5905500241223893,2.619047619047619,0.38181818181818183,2.6190476190476195,0.3818181818181818,2.619047619047619,0.38181818181818183,1.6935551452846687,0.2468951468001781,4.050302377184186,0.590473834161397,6.669349996231805,0.9722920159795789,4.312602764332288,0.6287133286183599,1.0284975949252297,0.14993964937587648,1.5905500241223893,0.2318785324423053
55,1922.2620049152547,2972.7379950847453,4895.0,0.6466301463814189,1.5464790894703255,2.5464790894703255,1.646630146381419,0.39269908169872414,0.6073009183012759,0.3820224719101123,2.61764705882353,0.3820224719101124,2.617647058823529,0.38202247191011235,2.6176470588235294,0.24702724693222744,1.6926495008219495,0.5907897645167536,4.048136440084088,0.9728122364268659,6.665783498907618,0.6290497188423398,4.3102965596454785,0.15001987390737775,1.0279475962113662,0.23200259800273462,1.5896994626121632,2.61764705882353,0.3820224719101123,2.617647058823529,0.3820224719101124,2.6176470588235294,0.38202247191011235,1.6926495008219495,0.24702724693222744,4.048136440084088,0.5907897645167536,6.665783498907618,0.9728122364268659,4.3102965596454785,0.6290497188423398,1.0279475962113662,0.15001987390737775,1.5896994626121632,0.23200259800273462
